Date,Close,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_4,Return_Lag_5,MA5
2020-01-10,106.10426330566406,-0.004783263943255234,-0.01692768286041768,0.0059916773412784785,0.00858778224108625,-0.02208399651379167,107.17176513671875
2020-01-13,105.93428802490234,-0.0016019646663212317,-0.004783263943255234,-0.01692768286041768,0.0059916773412784785,0.00858778224108625,106.98138427734375
2020-01-14,106.41022491455078,0.004492755825541206,-0.0016019646663212317,-0.004783263943255234,-0.01692768286041768,0.0059916773412784785,106.70260772705078
2020-01-15,106.00226593017578,-0.0038338325541797946,0.004492755825541206,-0.0016019646663212317,-0.004783263943255234,-0.01692768286041768,106.21305389404297
2020-01-16,106.8521957397461,0.00801803435155013,-0.0038338325541797946,0.004492755825541206,-0.0016019646663212317,-0.004783263943255234,106.26064758300781
2020-01-17,108.41605377197266,0.014635712643992438,0.00801803435155013,-0.0038338325541797946,0.004492755825541206,-0.0016019646663212317,106.72300567626954
2020-01-20,109.06199645996094,0.005957998520651486,0.014635712643992438,0.00801803435155013,-0.0038338325541797946,0.004492755825541206,107.34854736328126
2020-01-21,109.77593231201172,0.006546146918490425,0.005957998520651486,0.014635712643992438,0.00801803435155013,-0.0038338325541797946,108.02168884277344
2020-01-22,107.4981460571289,-0.020749413891642088,0.006546146918490425,0.005957998520651486,0.014635712643992438,0.00801803435155013,108.32086486816407
2020-01-23,105.52631378173828,-0.018342942159604414,-0.020749413891642088,0.006546146918490425,0.005957998520651486,0.014635712643992438,108.0556884765625
2020-01-24,106.47823333740234,0.00902068424026381,-0.018342942159604414,-0.020749413891642088,0.006546146918490425,0.005957998520651486,107.66812438964844
2020-01-27,101.92264556884766,-0.042784216320712165,0.00902068424026381,-0.018342942159604414,-0.020749413891642088,0.006546146918490425,106.24025421142578
2020-01-28,103.82647705078125,0.01867918038535965,-0.042784216320712165,0.00902068424026381,-0.018342942159604414,-0.020749413891642088,105.05036315917968
2020-01-29,104.03045654296875,0.0019646192183495614,0.01867918038535965,-0.042784216320712165,0.00902068424026381,-0.018342942159604414,104.35682525634766
2020-01-30,111.44176483154297,0.07124171646322686,0.0019646192183495614,0.01867918038535965,-0.042784216320712165,0.00902068424026381,105.5399154663086
2020-01-31,112.3936767578125,0.008541787970681058,0.07124171646322686,0.0019646192183495614,0.01867918038535965,-0.042784216320712165,106.72300415039062
2020-02-03,113.2096176147461,0.007259668697303878,0.008541787970681058,0.07124171646322686,0.0019646192183495614,0.01867918038535965,108.98039855957032
2020-02-04,116.54129791259766,0.02942930440052649,0.007259668697303878,0.008541787970681058,0.07124171646322686,0.0019646192183495614,111.52336273193359
2020-02-05,117.45922088623047,0.007876375071103281,0.02942930440052649,0.007259668697303878,0.008541787970681058,0.07124171646322686,114.20911560058593
2020-02-06,115.8953628540039,-0.013314050786538911,0.007876375071103281,0.02942930440052649,0.007259668697303878,0.008541787970681058,115.09983520507812
2020-02-07,115.8953628540039,0.0,-0.013314050786538911,0.007876375071103281,0.02942930440052649,0.007259668697303878,115.8001724243164
